,volume,open,high,low,close,caldt
149,37085,558.14,558.4495,558.14,558.42,2024-07-17 11:59:00-04:00
150,50915,558.43,558.485,558.31,558.46,2024-07-17 12:00:00-04:00
151,67039,558.46,558.55,558.23,558.23,2024-07-17 12:01:00-04:00
152,60502,558.23,558.36,558.18,558.18,2024-07-17 12:02:00-04:00
153,76111,558.1999,558.2,558.03,558.12,2024-07-17 12:03:00-04:00
154,52764,558.15,558.21,558.07,558.18,2024-07-17 12:04:00-04:00
155,59526,558.18,558.27,558.03,558.05,2024-07-17 12:05:00-04:00
156,39518,558.07,558.07,557.97,558.01,2024-07-17 12:06:00-04:00
157,42164,558.015,558.1,557.99,558.07,2024-07-17 12:07:00-04:00
158,31595,558.09,558.18,558.005,558.13,2024-07-17 12:08:00-04:00
159,44029,558.12,558.12,557.86,557.916,2024-07-17 12:09:00-04:00
160,73914,557.9099,557.91,557.78,557.82,2024-07-17 12:10:00-04:00
161,69972,557.83,558.13,557.78,557.7998,2024-07-17 12:11:00-04:00
162,89843,557.8,557.88,557.72,557.795,2024-07-17 12:12:00-04:00
163,144016,557.8,557.82,557.31,557.375,2024-07-17 12:13:00-04:00
164,107942,557.3896,557.46,557.29,557.36,2024-07-17 12:14:00-04:00
165,49169,557.37,557.56,557.355,557.39,2024-07-17 12:15:00-04:00
166,76650,557.38,557.56,557.34,557.49,2024-07-17 12:16:00-04:00
167,81263,557.46,557.6205,557.44,557.52,2024-07-17 12:17:00-04:00
168,69193,557.52,557.65,557.45,557.49,2024-07-17 12:18:00-04:00
169,58853,557.5,557.63,557.42,557.63,2024-07-17 12:19:00-04:00
170,77459,557.64,557.86,557.58,557.7852,2024-07-17 12:20:00-04:00
171,51273,557.7759,557.82,557.56,557.5813,2024-07-17 12:21:00-04:00
172,30658,557.6,557.67,557.56,557.57,2024-07-17 12:22:00-04:00
173,48065,557.56,557.65,557.5,557.56,2024-07-17 12:23:00-04:00
174,26614,557.52,557.62,557.49,557.56,2024-07-17 12:24:00-04:00
175,45427,557.565,557.63,557.46,557.505,2024-07-17 12:25:00-04:00
176,53459,557.5,557.63,557.45,557.49,2024-07-17 12:26:00-04:00
177,46980,557.5,557.6499,557.48,557.595,2024-07-17 12:27:00-04:00
178,67520,557.605,557.63,557.355,557.39,2024-07-17 12:28:00-04:00
179,83273,557.39,557.425,557.31,557.3699,2024-07-17 12:29:00-04:00
180,125222,557.35,557.5393,557.315,557.47,2024-07-17 12:30:00-04:00
181,104405,557.47,557.53,557.33,557.53,2024-07-17 12:31:00-04:00
182,55332,557.57,557.59,557.32,557.32,2024-07-17 12:32:00-04:00
183,42468,557.34,557.3999,557.23,557.35,2024-07-17 12:33:00-04:00
184,29113,557.33,557.535,557.33,557.37,2024-07-17 12:34:00-04:00
185,28647,557.335,557.47,557.29,557.29,2024-07-17 12:35:00-04:00
186,27655,557.31,557.35,557.29,557.32,2024-07-17 12:36:00-04:00
187,41616,557.32,557.37,557.25,557.27,2024-07-17 12:37:00-04:00
188,105539,557.27,557.3799,557.09,557.37,2024-07-17 12:38:00-04:00
189,68672,557.39,557.49,557.2552,557.31,2024-07-17 12:39:00-04:00
190,75483,557.32,557.36,557.19,557.2,2024-07-17 12:40:00-04:00
191,51763,557.22,557.24,557.14,557.15,2024-07-17 12:41:00-04:00
192,43849,557.15,557.24,557.08,557.15,2024-07-17 12:42:00-04:00
193,155866,557.17,557.22,557.15,557.17,2024-07-17 12:43:00-04:00
194,313592,557.19,557.19,557.1,557.15,2024-07-17 12:44:00-04:00
195,90075,557.15,557.29,557.15,557.18,2024-07-17 12:45:00-04:00
196,48737,557.18,557.21,557.12,557.17,2024-07-17 12:46:00-04:00
197,55604,557.15,557.19,557.07,557.075,2024-07-17 12:47:00-04:00
198,86026,557.075,557.2,557.075,557.12,2024-07-17 12:48:00-04:00
199,146039,557.12,557.29,557.05,557.265,2024-07-17 12:49:00-04:00
200,96834,557.26,557.32,557.15,557.235,2024-07-17 12:50:00-04:00
201,157132,557.235,557.68,557.2,557.59,2024-07-17 12:51:00-04:00
202,251074,557.58,557.6,557.31,557.31,2024-07-17 12:52:00-04:00
203,181757,557.3153,557.6,557.3,557.5999,2024-07-17 12:53:00-04:00
204,90642,557.5948,557.655,557.46,557.61,2024-07-17 12:54:00-04:00
205,167161,557.59,558.0,557.59,557.88,2024-07-17 12:55:00-04:00
206,71570,557.87,557.87,557.5,557.52,2024-07-17 12:56:00-04:00
207,42375,557.5128,557.76,557.5,557.7,2024-07-17 12:57:00-04:00
208,109241,557.7,558.04,557.65,557.99,2024-07-17 12:58:00-04:00
209,71751,557.9808,558.02,557.95,557.97,2024-07-17 12:59:00-04:00
210,55757,557.96,557.96,557.79,557.7999,2024-07-17 13:00:00-04:00
211,69980,557.77,557.87,557.71,557.84,2024-07-17 13:01:00-04:00
212,87216,557.82,557.82,557.6,557.76,2024-07-17 13:02:00-04:00
213,45403,557.77,557.91,557.7004,557.72,2024-07-17 13:03:00-04:00
214,52292,557.71,557.71,557.538,557.625,2024-07-17 13:04:00-04:00
215,59402,557.625,557.705,557.43,557.44,2024-07-17 13:05:00-04:00
216,67969,557.43,557.54,557.16,557.21,2024-07-17 13:06:00-04:00
217,26748,557.24,557.35,557.22,557.26,2024-07-17 13:07:00-04:00
218,29367,557.26,557.26,557.15,557.18,2024-07-17 13:08:00-04:00
219,94820,557.18,557.22,556.9401,556.965,2024-07-17 13:09:00-04:00
220,58733,556.98,557.16,556.98,557.085,2024-07-17 13:10:00-04:00
221,52720,557.09,557.14,557.0,557.1,2024-07-17 13:11:00-04:00
222,66663,557.11,557.11,556.92,557.03,2024-07-17 13:12:00-04:00
223,78371,557.03,557.03,556.8,556.96,2024-07-17 13:13:00-04:00
224,38400,556.99,556.99,556.855,556.86,2024-07-17 13:14:00-04:00
225,38915,556.855,556.92,556.81,556.82,2024-07-17 13:15:00-04:00
226,86069,556.82,556.855,556.61,556.8,2024-07-17 13:16:00-04:00
227,90147,556.81,557.21,556.8,557.17,2024-07-17 13:17:00-04:00
228,53086,557.166,557.39,557.13,557.25,2024-07-17 13:18:00-04:00
229,122009,557.26,557.37,557.12,557.198,2024-07-17 13:19:00-04:00
230,91237,557.17,557.28,557.0,557.26,2024-07-17 13:20:00-04:00
231,59967,557.2599,557.37,557.15,557.35,2024-07-17 13:21:00-04:00
232,33663,557.35,557.35,557.15,557.26,2024-07-17 13:22:00-04:00
233,30377,557.26,557.37,557.08,557.11,2024-07-17 13:23:00-04:00
234,42787,557.13,557.1699,557.0309,557.05,2024-07-17 13:24:00-04:00
235,109200,557.05,557.31,557.01,557.29,2024-07-17 13:25:00-04:00
236,32162,557.31,557.35,557.14,557.14,2024-07-17 13:26:00-04:00
237,37161,557.12,557.205,557.1,557.12,2024-07-17 13:27:00-04:00
238,66641,557.12,557.26,557.105,557.215,2024-07-17 13:28:00-04:00
239,48268,557.215,557.42,557.2101,557.38,2024-07-17 13:29:00-04:00
240,71878,557.3702,557.61,557.3,557.6,2024-07-17 13:30:00-04:00
241,173991,557.5904,557.825,557.5701,557.81,2024-07-17 13:31:00-04:00
242,55332,557.815,557.86,557.68,557.84,2024-07-17 13:32:00-04:00
243,66689,557.81,557.89,557.6029,557.77,2024-07-17 13:33:00-04:00
244,54145,557.76,557.79,557.67,557.77,2024-07-17 13:34:00-04:00
245,60485,557.78,557.84,557.64,557.645,2024-07-17 13:35:00-04:00
246,56309,557.64,557.845,557.5401,557.8,2024-07-17 13:36:00-04:00
247,41985,557.79,557.89,557.73,557.73,2024-07-17 13:37:00-04:00
248,41236,557.73,557.9,557.73,557.8199,2024-07-17 13:38:00-04:00
249,40451,557.8,557.805,557.5475,557.57,2024-07-17 13:39:00-04:00
250,79839,557.565,557.59,557.44,557.5399,2024-07-17 13:40:00-04:00
251,75649,557.54,557.57,557.37,557.42,2024-07-17 13:41:00-04:00
252,94770,557.4155,557.55,557.37,557.52,2024-07-17 13:42:00-04:00
253,89527,557.54,557.66,557.405,557.43,2024-07-17 13:43:00-04:00
254,76768,557.44,557.58,557.4,557.4859,2024-07-17 13:44:00-04:00
255,80311,557.47,557.6,557.41,557.555,2024-07-17 13:45:00-04:00
256,104518,557.55,557.6828,557.45,557.64,2024-07-17 13:46:00-04:00
257,78112,557.6668,557.81,557.48,557.53,2024-07-17 13:47:00-04:00
