,volume,open,high,low,close,caldt
215,80990,561.7775,562.1,561.75,562.08,2024-07-15 13:05:00-04:00
216,81719,562.08,562.23,562.01,562.17,2024-07-15 13:06:00-04:00
217,80250,562.1816,562.37,562.16,562.34,2024-07-15 13:07:00-04:00
218,25259,562.32,562.37,562.26,562.3,2024-07-15 13:08:00-04:00
219,34649,562.325,562.33,562.16,562.27,2024-07-15 13:09:00-04:00
220,85232,562.27,562.3,562.08,562.08,2024-07-15 13:10:00-04:00
221,45930,562.1,562.15,562.0,562.04,2024-07-15 13:11:00-04:00
222,28475,562.04,562.1338,561.98,562.06,2024-07-15 13:12:00-04:00
223,47681,562.06,562.06,561.93,561.97,2024-07-15 13:13:00-04:00
224,75946,561.99,561.9998,561.7701,561.975,2024-07-15 13:14:00-04:00
225,61877,561.97,562.06,561.88,561.97,2024-07-15 13:15:00-04:00
226,48078,561.95,562.0699,561.91,561.92,2024-07-15 13:16:00-04:00
227,97813,561.94,561.98,561.59,561.71,2024-07-15 13:17:00-04:00
228,30926,561.7,561.91,561.6335,561.89,2024-07-15 13:18:00-04:00
229,67806,561.89,562.1,561.89,562.06,2024-07-15 13:19:00-04:00
230,29764,562.04,562.1299,561.93,561.97,2024-07-15 13:20:00-04:00
231,20411,561.94,562.05,561.92,562.01,2024-07-15 13:21:00-04:00
232,33348,561.99,562.27,561.98,562.17,2024-07-15 13:22:00-04:00
233,43360,562.23,562.43,562.2,562.4202,2024-07-15 13:23:00-04:00
234,72000,562.41,562.48,562.36,562.45,2024-07-15 13:24:00-04:00
235,69839,562.455,562.5,562.16,562.17,2024-07-15 13:25:00-04:00
236,22498,562.17,562.225,562.09,562.09,2024-07-15 13:26:00-04:00
237,35249,562.1,562.13,561.9199,561.96,2024-07-15 13:27:00-04:00
238,60523,561.95,561.95,561.6,561.67,2024-07-15 13:28:00-04:00
239,41944,561.68,561.75,561.535,561.67,2024-07-15 13:29:00-04:00
240,67607,561.62,561.66,561.355,561.53,2024-07-15 13:30:00-04:00
241,37631,561.5279,561.64,561.46,561.46,2024-07-15 13:31:00-04:00
242,42249,561.46,561.4757,561.2701,561.38,2024-07-15 13:32:00-04:00
243,141757,561.37,561.37,560.72,560.98,2024-07-15 13:33:00-04:00
244,61896,561.03,561.2572,560.855,560.89,2024-07-15 13:34:00-04:00
245,78696,560.9,561.28,560.87,561.0725,2024-07-15 13:35:00-04:00
246,31921,561.06,561.08,560.96,561.02,2024-07-15 13:36:00-04:00
247,37314,561.03,561.28,561.0,561.02,2024-07-15 13:37:00-04:00
248,41754,561.03,561.1,560.99,561.05,2024-07-15 13:38:00-04:00
249,43500,561.05,561.14,561.05,561.09,2024-07-15 13:39:00-04:00
250,100336,561.08,561.3099,561.07,561.23,2024-07-15 13:40:00-04:00
251,36278,561.2,561.32,561.1833,561.27,2024-07-15 13:41:00-04:00
252,20800,561.2644,561.31,561.22,561.27,2024-07-15 13:42:00-04:00
253,46156,561.25,561.3,561.1,561.1,2024-07-15 13:43:00-04:00
254,34854,561.11,561.19,561.08,561.1,2024-07-15 13:44:00-04:00
255,56353,561.105,561.23,560.96,561.13,2024-07-15 13:45:00-04:00
256,38153,561.1556,561.21,561.0099,561.0499,2024-07-15 13:46:00-04:00
257,57763,561.05,561.08,560.81,560.91,2024-07-15 13:47:00-04:00
258,31428,560.91,561.1,560.87,560.9686,2024-07-15 13:48:00-04:00
259,20967,560.96,561.04,560.92,561.0397,2024-07-15 13:49:00-04:00
260,49101,561.02,561.28,560.9918,561.2013,2024-07-15 13:50:00-04:00
261,28410,561.235,561.3699,561.21,561.3536,2024-07-15 13:51:00-04:00
